imgid,userid,bbox_left,bbox_top,bbox_width,bbox_height
static/data/img/Acrobat-1930.JPG,3,4,6,549,677
static/data/img/Acrobat-1930.JPG,6,6,6,547,677
static/data/img/Acrobat-1930.JPG,9,16,25,538,653
static/data/img/Acrobat-1930.JPG,10,12,10,536,667
static/data/img/Acrobat-1930.JPG,21,350,10,203,673
static/data/img/Acrobat-1930.JPG,21,23,1,530,682
static/data/img/Acrobat-1930.JPG,22,5,19,548,664
static/data/img/Acrobat-1930.JPG,23,7,4,546,679
static/data/img/Acrobat-1930.JPG,24,27,94,514,504
static/data/img/Acrobat-1930.JPG,26,17,21,527,653
static/data/img/Acrobat-1930.JPG,28,5,8,548,675
static/data/img/ADALLASIG_10313602090.jpg,6,86,85,531,811
static/data/img/ADALLASIG_10313602090.jpg,9,123,95,475,829
static/data/img/ADALLASIG_10313602090.jpg,10,117,125,487,761
static/data/img/ADALLASIG_10313602090.jpg,22,130,45,485,871
static/data/img/ADALLASIG_10313602090.jpg,23,91,78,532,829
static/data/img/ADALLASIG_10313602090.jpg,24,144,103,472,629
static/data/img/ADALLASIG_10313602090.jpg,26,132,115,470,795
static/data/img/ADALLASIG_10313602090.jpg,28,85,74,514,829
static/data/img/ADALLASIG_10313602624.jpg,9,139,111,483,751
static/data/img/ADALLASIG_10313602624.jpg,10,123,98,490,769
static/data/img/ADALLASIG_10313602624.jpg,13,118,104,522,724
static/data/img/ADALLASIG_10313602624.jpg,14,114,88,502,775
static/data/img/ADALLASIG_10313602624.jpg,15,97,83,541,800
static/data/img/ADALLASIG_10313602624.jpg,16,74,87,583,789
static/data/img/ADALLASIG_10313602624.jpg,17,138,113,478,747
static/data/img/ADALLASIG_10313602624.jpg,18,70,80,537,780
static/data/img/ADALLASIG_10313602624.jpg,19,134,105,483,766
static/data/img/ADALLASIG_10313602624.jpg,21,352,114,267,740
static/data/img/ADALLASIG_10313602624.jpg,21,141,95,489,775
static/data/img/ADALLASIG_10313602624.jpg,22,124,107,497,768
static/data/img/ADALLASIG_10313602624.jpg,23,107,113,519,751
static/data/img/ADALLASIG_10313602624.jpg,24,154,99,331,356
static/data/img/ADALLASIG_10313602624.jpg,26,136,103,447,612
static/data/img/A-Woman-in-Tears-1937.JPG,9,2,113,577,637
static/data/img/A-Woman-in-Tears-1937.JPG,10,17,153,409,425
static/data/img/A-Woman-in-Tears-1937.JPG,13,0,116,497,634
static/data/img/A-Woman-in-Tears-1937.JPG,14,7,122,405,599
static/data/img/A-Woman-in-Tears-1937.JPG,15,12,115,581,636
static/data/img/A-Woman-in-Tears-1937.JPG,16,0,131,551,615
static/data/img/A-Woman-in-Tears-1937.JPG,17,3,136,470,614
static/data/img/A-Woman-in-Tears-1937.JPG,18,6,104,544,645
static/data/img/A-Woman-in-Tears-1937.JPG,19,12,117,511,633
static/data/img/A-Woman-in-Tears-1937.JPG,21,31,54,393,697
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,9,334,0,137,538
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,9,74,1,261,549
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,9,478,0,177,550
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,10,353,45,119,295
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,10,25,31,277,495
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,10,333,33,313,503
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,13,338,10,290,539
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,13,31,11,318,532
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,13,355,12,150,516
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,14,321,0,191,394
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,14,466,8,186,377
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,14,38,11,315,500
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,15,330,18,175,317
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,15,2,3,379,536
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,15,296,2,349,530
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,16,334,13,113,335
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,16,308,0,347,508
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,16,446,323,47,29
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,16,4,9,317,491
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,17,35,17,283,489
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,17,358,14,131,494
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,17,420,17,216,405
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,18,321,8,318,531
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,18,308,2,182,528
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,18,22,1,282,511
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,19,50,17,253,495
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,19,466,0,167,534
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,19,340,3,133,521
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,21,48,0,265,549
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,21,343,2,148,547
static/data/img/A-Young-Faun-Playing-a-Serenade-to-a-Young-Girl-1938.JPG,21,454,2,209,547
static/data/img/Bather-Opening-a-Cabin-1928.JPG,9,42,157,488,523
static/data/img/Bather-Opening-a-Cabin-1928.JPG,10,63,133,439,547
static/data/img/Bather-Opening-a-Cabin-1928.JPG,13,31,119,499,562
static/data/img/Bather-Opening-a-Cabin-1928.JPG,14,37,91,463,600
static/data/img/Bather-Opening-a-Cabin-1928.JPG,15,106,130,366,542
static/data/img/Bather-Opening-a-Cabin-1928.JPG,16,28,109,461,571
static/data/img/Bather-Opening-a-Cabin-1928.JPG,17,50,124,421,547
static/data/img/Bather-Opening-a-Cabin-1928.JPG,18,22,107,479,605
static/data/img/Bather-Opening-a-Cabin-1928.JPG,19,58,97,403,579
static/data/img/Bather-Opening-a-Cabin-1928.JPG,21,68,39,463,591
static/data/img/Bather-Opening-a-Cabin-1928.JPG,22,111,154,367,510
static/data/img/Bather-Opening-a-Cabin-1928.JPG,23,90,131,382,543
static/data/img/Bather-Opening-a-Cabin-1928.JPG,24,126,155,311,387
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,3,9,21,439,466
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,3,281,231,492,280
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,3,485,83,179,98
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,6,12,28,427,477
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,6,356,184,414,333
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,16,324,219,459,299
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,16,482,89,203,107
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,16,12,33,443,485
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,17,490,92,194,106
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,17,357,249,428,268
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,17,25,40,336,426
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,18,263,212,519,305
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,18,16,8,441,485
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,19,24,46,382,436
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,19,556,118,22,21
static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,19,356,230,413,261
